"Age","Vehicle_Use","Severity","Claim_Count"
"A","Pleasure",250.48,21
"A","DriveShort",274.78,40
"A","DriveLong",244.52,23
"A","Business",797.8,5
"B","Pleasure",213.71,63
"B","DriveShort",298.6,171
"B","DriveLong",298.13,92
"B","Business",362.23,44
"C","Pleasure",250.57,140
"C","DriveShort",248.56,343
"C","DriveLong",297.9,318
"C","Business",342.31,129
"D","Pleasure",229.09,123
"D","DriveShort",228.48,448
"D","DriveLong",293.87,361
"D","Business",367.46,169
"E","Pleasure",153.62,151
"E","DriveShort",201.67,479
"E","DriveLong",238.21,381
"E","Business",256.21,166
"F","Pleasure",208.59,245
"F","DriveShort",202.8,970
"F","DriveLong",236.06,719
"F","Business",352.49,304
"G","Pleasure",207.57,266
"G","DriveShort",202.67,859
"G","DriveLong",253.63,504
"G","Business",340.56,162
"H","Pleasure",192,260
"H","DriveShort",196.33,578
"H","DriveLong",259.79,312
"H","Business",342.58,96
