Name,Gender,Domestic Gross,Foreign Gross,Income
Angela Bassett,F,32,17,2.5
Jessica Lange,F,21,27,2.5
Winona Ryder,F,36,30,4
Michelle Pfeiffer,F,66,31,10
Whoopi Goldberg,F,32,33,10
Emma Thompson,F,26,44,3
Julia Roberts,F,57,47,12
Sharon Stone,F,32,47,6
Meryl Streep,F,34,47,4.5
Susan Sarandon,F,38,49,3
Nicole Kidman,F,55,51,4
Holly Hunter,F,51,53,2.5
Meg Ryan,F,43,55,8.5
Andie Macdowell,F,26,75,2
Jodie Foster,F,62,85,9
Rene Russo,F,69,85,2.5
Sandra Bullock,F,64,104,11
Demi Moore,F,65,125,12
Danny Glover,M,42,4,2
Billy Crystal,M,52,14,7
Nicholas Cage,M,20,16,7
Micheal Keaton,M,47,19,7
Bill Murray,M,47,21,7.5
Macaulay Culkin,M,48,24,8
Richard Dreyfus,M,40,28,7
Tim Robbins,M,16,29,4
Wesley Snipes,M,39,36,10
Steve Martin,M,43,37,7.5
Daniel Day-Lewis,M,29,37,8
Danny Devito,M,54,39,5.5
Sean Connery,M,33,40,13
Christian Slater,M,39,43,5.5
Charlie Sheen,M,25,49,5.2
Anthony Hopkins,M,23,52,3.5
Kurt Russell,M,58,56,10
AL Pacino,M,33,59,3
Woody Harrelson,M,44,60,5.5
Tommy Lee Jones,M,60,63,7.5
Gene Hackman,M,83,65,6
Kevin Bacon,M,78,67,2.5
Hugh Grant,M,31,67,7.5
Keanu Reeves,M,37,68,8
Val Kilmer,M,57,69,4
Chris O'Donnell,M,57,69,4
Jack Nicholson,M,41,71,10
Denzel Washington,M,55,73,10
Richard Gere,M,24,74,7.5
Kevin Costner,M,59,77,13
JohnTravolta,M,54,82,20
Robert De Niro,M,27,83,6
Sly Stallone,M,49,86,19.8
Tom Cruise,M,103,91,20
Harrison Ford,M,96,91,20
Clint Eastwood,M,55,94,12.5
Mel Gibson,M,91,95,19
Bruce Willis,M,55,99,16.5
Bill Pullman,M,38,103,6
Liam Neeson,M,29,108,3
Samuel Jackson,M,40,122,4.5
Jim Carrey,M,122,123,15
Morgan Freeman,M,77,123,6
Arnold Schwarzenegger,M,108,124,20
Brad Pitt,M,57,124,10
Michael Douglas,M,68,137,18
Robin Williams,M,92,180,15
Tom Hanks,M,166,182,17.5
