Order ID,Item ID,Qty
32 90 001,121 021,7
32 90 001,121 003,49
32 90 001,121 023,1
32 90 001,121 018,9
32 90 001,121 015,29
32 90 001,121 014,44
32 90 001,121 001,15
32 90 001,121 010,25
32 90 001,121 010,28
32 90 001,121 024,20
32 90 001,121 002,9
32 90 002,121 007,15
32 90 002,121 002,44
32 90 002,121 014,19
32 90 002,121 020,33
32 90 002,121 019,10
32 90 002,121 025,33
32 90 002,121 007,10
32 90 002,121 020,31
32 90 002,121 002,4
32 90 002,121 007,32
32 90 002,121 013,24
32 90 002,121 007,13
32 90 002,121 019,17
32 90 002,121 012,18
32 90 002,121 002,17
32 90 003,121 008,18
32 90 003,121 010,44
32 90 003,121 011,14
32 90 003,121 005,6
32 90 003,121 012,6
32 90 003,121 007,26
32 90 003,121 004,4
32 90 003,121 019,40
32 90 003,121 014,44
32 90 003,121 024,28
32 90 003,121 018,22
32 90 003,121 017,47
32 90 003,121 006,1
32 90 003,121 007,10
32 90 004,121 002,44
32 90 004,121 005,13
32 90 004,121 009,9
32 90 004,121 007,26
32 90 004,121 009,10
32 90 004,121 002,27
32 90 004,121 021,4
32 90 004,121 007,22
32 90 004,121 021,9
32 90 005,121 022,22
32 90 005,121 023,8
32 90 005,121 016,29
32 90 005,121 015,7
32 90 005,121 004,15
32 90 005,121 007,25
32 90 005,121 017,39
32 90 005,121 001,30
32 90 005,121 021,26
32 90 005,121 015,45
32 90 006,121 018,21
32 90 006,121 013,46
32 90 006,121 017,48
32 90 006,121 001,45
32 90 006,121 014,38
32 90 006,121 023,2
32 90 006,121 011,49
32 90 006,121 018,7
32 90 006,121 008,46
32 90 006,121 012,18
32 90 006,121 012,39
32 90 006,121 015,45
32 90 006,121 016,36
32 90 006,121 011,10
32 90 007,121 021,17
32 90 007,121 012,28
32 90 007,121 014,42
32 90 007,121 013,37
32 90 007,121 010,31
32 90 007,121 013,27
32 90 007,121 016,11
32 90 007,121 022,24
32 90 007,121 019,25
32 90 007,121 024,5
32 90 007,121 006,19
32 90 007,121 010,7
32 90 007,121 020,43
32 90 007,121 009,34
32 90 007,121 018,12
32 90 008,121 007,1
32 90 008,121 025,25
32 90 008,121 001,26
32 90 008,121 013,14
32 90 008,121 010,39
32 90 008,121 022,19
32 90 008,121 019,45
32 90 008,121 019,39
32 90 008,121 007,33
32 90 008,121 008,46
32 90 008,121 020,28
32 90 008,121 018,46
32 90 008,121 012,20
32 90 008,121 013,46
32 90 008,121 021,38
32 90 008,121 008,29
32 90 009,121 024,8
32 90 009,121 023,10
32 90 009,121 018,29
32 90 009,121 017,34
32 90 009,121 006,35
32 90 009,121 024,14
32 90 009,121 007,2
32 90 009,121 020,42
32 90 009,121 023,41
32 90 010,121 015,1
32 90 010,121 013,24
32 90 010,121 021,3
32 90 010,121 009,4
32 90 010,121 024,11
32 90 010,121 023,14
32 90 010,121 022,16
32 90 010,121 015,20
32 90 010,121 001,44
32 90 011,121 019,11
32 90 011,121 017,7
32 90 011,121 002,4
32 90 011,121 024,11
32 90 011,121 010,1
32 90 011,121 016,8
32 90 011,121 008,35
32 90 011,121 005,19
32 90 011,121 020,47
32 90 011,121 003,31
32 90 011,121 004,6
32 90 012,121 015,9
32 90 012,121 023,38
32 90 012,121 001,35
32 90 012,121 017,25
32 90 012,121 002,6
32 90 012,121 011,50
32 90 012,121 022,20
32 90 012,121 023,23
32 90 012,121 013,11
32 90 013,121 004,47
32 90 013,121 003,1
32 90 013,121 007,21
32 90 013,121 018,23
32 90 013,121 017,42
32 90 013,121 003,16
32 90 013,121 014,29
32 90 013,121 015,18
32 90 013,121 011,40
32 90 013,121 020,7
32 90 013,121 013,45
32 90 013,121 014,22
32 90 013,121 004,31
32 90 013,121 008,27
32 90 014,121 021,33
32 90 014,121 021,12
32 90 014,121 019,39
32 90 014,121 015,42
32 90 014,121 024,21
32 90 014,121 001,9
32 90 014,121 006,21
32 90 014,121 002,19
32 90 014,121 009,41
32 90 015,121 019,28
32 90 015,121 013,1
32 90 015,121 016,41
32 90 015,121 022,21
32 90 015,121 018,6
32 90 015,121 002,39
32 90 015,121 019,39
32 90 015,121 009,20
32 90 015,121 007,48
32 90 016,121 009,43
32 90 016,121 020,27
32 90 016,121 015,8
32 90 016,121 019,34
32 90 016,121 007,27
32 90 016,121 013,29
32 90 016,121 006,10
32 90 016,121 018,39
32 90 016,121 012,6
32 90 017,121 010,4
32 90 017,121 004,1
