assets,sector,nation,interlocks
147670,BNK,CAN,87
133000,BNK,CAN,107
113230,BNK,CAN,94
85418,BNK,CAN,48
75477,BNK,CAN,66
40742,FIN,CAN,69
40140,TRN,CAN,46
26866,BNK,CAN,16
24500,TRN,CAN,77
23700,MIN,US,6
23482,FIN,CAN,18
21512,FIN,CAN,29
20780,MIN,US,36
18688,FIN,CAN,20
18286,BNK,CAN,13
17910,MIN,US,6
17784,FIN,CAN,31
16631,FIN,CAN,27
16458,FIN,CAN,23
15280,MIN,US,13
15140,FIN,CAN,32
14362,FIN,CAN,28
14163,AGR,CAN,4
13820,HLD,CAN,42
13787,FIN,CAN,17
12810,TRN,CAN,40
12080,MIN,US,29
11250,MIN,CAN,29
11090,MAN,US,21
10580,MIN,OTH,3
10570,MAN,CAN,32
10568,FIN,CAN,29
10320,MIN,CAN,40
10110,TRN,US,5
9044,WOD,CAN,33
8395,FIN,CAN,21
8182,FIN,US,18
7994,TRN,US,18
7930,FIN,CAN,13
7877,MAN,US,2
7564,FIN,US,22
7510,FIN,US,13
7287,FIN,US,2
7018,BNK,CAN,0
6629,MIN,US,18
6571,FIN,CAN,9
6498,TRN,CAN,31
6407,AGR,CAN,16
6286,MIN,CAN,28
5932,FIN,CAN,34
5704,MIN,CAN,33
5479,MER,CAN,7
5437,TRN,US,12
5429,MER,US,15
5366,TRN,US,13
5035,MIN,US,16
5021,MIN,OTH,27
4980,AGR,CAN,12
4838,TRN,CAN,11
4634,MIN,US,0
4592,TRN,US,16
4390,TRN,CAN,17
4304,WOD,CAN,55
4298,AGR,OTH,15
4227,FIN,CAN,44
4210,MIN,US,18
4154,FIN,OTH,20
4100,MAN,US,19
4099,MAN,US,9
4088,FIN,CAN,12
3960,CON,OTH,17
3896,AGR,CAN,15
3879,WOD,CAN,27
3673,MER,CAN,30
3654,MIN,OTH,27
3631,TRN,US,12
3606,MIN,UK,11
3570,MER,CAN,28
3561,MIN,US,8
3274,TRN,CAN,12
3152,MAN,US,18
3058,WOD,UK,23
2958,WOD,CAN,51
2927,MIN,OTH,35
2878,MER,CAN,8
2814,AGR,CAN,43
2807,MIN,CAN,4
2801,WOD,CAN,18
2786,AGR,OTH,20
2757,MIN,UK,13
2667,MIN,UK,22
2625,AGR,UK,10
2566,MER,US,1
2549,HLD,US,6
2488,AGR,CAN,30
2285,MIN,US,6
2281,WOD,US,11
2182,AGR,US,20
2165,MIN,US,7
2164,MIN,OTH,13
2141,MIN,US,0
2108,MAN,UK,14
2086,MIN,US,19
2025,AGR,CAN,4
1881,AGR,CAN,2
1876,MER,CAN,2
1841,WOD,US,7
1656,MIN,OTH,25
1655,MER,CAN,29
1612,MER,CAN,5
1603,MIN,US,12
1601,WOD,CAN,25
1591,AGR,US,2
1583,HLD,CAN,25
1561,MIN,US,2
1520,MAN,US,16
1511,WOD,US,3
1487,MIN,OTH,9
1482,MAN,US,1
1477,MAN,US,0
1469,MIN,US,1
1434,MIN,US,1
1427,HLD,CAN,1
1416,MER,CAN,6
1378,MIN,US,12
1372,MIN,US,5
1343,WOD,UK,5
1337,MIN,US,0
1335,MAN,CAN,4
1315,MIN,OTH,5
1235,MAN,CAN,33
1172,AGR,CAN,11
